Gene	WT_20nM/5uM	pdxBJ_20nM/5uM	pdxBJ/WT_20nM
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0180	0.302067461	0.224239453	-0.206194263
b0954	0.420194994	-1.097462643	-0.89718856
b0597	-0.072480116	-0.900520023	-0.65190821
b0347	-2.077037077	0.121548727	0.547674414
b1300	-0.351701611	-0.112069188	1.480768887
b0347	-2.077037077	0.121548727	0.547674414
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3580	-1.676770941	0.235142908	0.432180427
b0383	0.336154067	-0.07032033	-0.006132627
b4213	0.307535723	-0.007158276	-0.011436802
b0383	0.336154067	-0.07032033	-0.006132627
b4213	0.307535723	-0.007158276	-0.011436802
b0383	0.336154067	-0.07032033	-0.006132627
b4213	0.307535723	-0.007158276	-0.011436802
b0383	0.336154067	-0.07032033	-0.006132627
b4213	0.307535723	-0.007158276	-0.011436802
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1093	0.21791866	-0.14893819	-0.529378234
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b2323	0.352442386	-0.490439104	0.441288122
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b2323	0.352442386	-0.490439104	0.441288122
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b2323	0.352442386	-0.490439104	0.441288122
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b1095	0.34752852	-0.519424194	-0.793117883
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b1095	0.34752852	-0.519424194	-0.793117883
b2323	0.352442386	-0.490439104	0.441288122
b1397	-0.092860355	-0.585077412	-0.855625308
b1243	0.143602805	-1.399671301	-1.994119137
b1244	0.122975421	-0.772423717	-0.83058002
b1245	0.03208058	-1.424977274	-1.731950625
b1246	-0.016238792	-1.942150733	-2.379628619
b1247	-0.043999713	-2.515305263	-3.092090773
b1329	0.323165328	-0.124854193	-0.272154688
b2177	-0.099094435	-0.003027612	0.025852821
b2178	-0.06925318	0.002601641	-0.166545679
b2179	-0.084963219	0.076817388	0.124670304
b2180	-0.039463063	0.01154941	-0.419096843
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3882	-1.37943102	-0.019746286	0.804089777
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1386	-0.959216532	0.226091539	0.959753102
b1337	-0.664213367	0.415073304	0.827404761
b1338	-0.781483697	-0.417051667	0.5107279
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1336	-0.435667696	0.260075489	0.425263851
b3240	-1.133717608	1.122527836	1.626634687
b3241	-0.333804027	0.602682482	0.741158514
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0870	0.266402323	-0.597006978	-0.388017835
b0003	0.218047687	0.883391439	1.179965102
b1192	0.322802663	0.398193505	0.002028331
b2175	0.22606857	0.511100697	0.677792924
b1243	0.143602805	-1.399671301	-1.994119137
b1244	0.122975421	-0.772423717	-0.83058002
b1245	0.03208058	-1.424977274	-1.731950625
b1246	-0.016238792	-1.942150733	-2.379628619
b1247	-0.043999713	-2.515305263	-3.092090773
b2177	-0.099094435	-0.003027612	0.025852821
b2178	-0.06925318	0.002601641	-0.166545679
b2179	-0.084963219	0.076817388	0.124670304
b2180	-0.039463063	0.01154941	-0.419096843
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b4266	-0.322719929	0.126564022	0.687311701
b4265	-0.258853691	0.351633162	0.91545517
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b2842	0.024459181	0.022331509	0.189682681
b4266	-0.322719929	0.126564022	0.687311701
b0159	0.320456557	-0.548679502	-1.077769088
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3883	-0.232746172	0.049267318	-0.1079286
b3881	-0.857582036	0.256593518	0.842562308
b2708	0.358729245	-0.078446967	-1.103033542
b3197	0.183554962	0.211731706	0.02163674
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b1094	0.150487571	-0.366042499	-0.435593845
b2836	0.33622847	-0.265650145	-0.271772237
b4481	0.219444419	-0.063741007	-0.114091437
b1927	0.207751869	0.272626439	0.243766689
b3571	-0.019037331	0.137779114	-0.172113883
b2716	-0.113871605	0.018229222	0.370642713
b2901	0.206012807	-0.520554304	-0.751891552
b3721	-1.512373253	-0.389466448	0.233728359
b1302	-0.375965228	0.190155844	1.658963222
b2662	0.131599457	0.934440097	1.032391987
b1444	0.067293152	0.722960247	1.317573748
b2663	-0.390120421	1.560798456	2.053637114
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1694	-1.170054239	-0.535298357	1.509647917
b2221	-1.461123606	0.030986447	0.378964645
b2222	-2.40355174	-0.014446101	0.821741383
b2224	-1.090086805	0.426675501	0.957243119
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2223	-1.607187846	0.206502917	0.553747562
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b2342	0.17943703	-1.106621859	-1.381055723
b3845	-0.301737321	0.490455391	0.987555093
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0351	0.23882045	0.49345355	1.298814411
b1241	-0.087414597	-0.148501464	-0.787441612
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1463	-0.334549775	0.043244127	1.660268042
b1993	-0.198102987	0.239782674	0.963353878
b0185	0.527362684	-0.525170486	-0.531214569
b2316	0.365996455	-0.31694596	-0.423565377
b3255	0.190076845	-0.331538891	-0.213151934
b3256	0.391524297	-0.642360302	-0.891015308
b0335	-1.04905244	0.233137183	0.690004314
b4069	0.488244771	-0.640007244	-0.73103199
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1119	0.069383266	-0.065767666	-0.478298916
b3784	0.517235556	0.039848307	-0.451810649
b0679	0.025302105	-0.840177593	-1.21764337
b1101	0.496839067	0.258697207	-0.453389152
b2415	0.275929316	0.065712667	-0.266131736
b2416	0.241073785	-0.10224412	-0.713379671
b2417	0.208594021	-0.262762913	-0.886925272
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3959	0.349555382	-3.309045373	-3.227727766
b2818	0.93459968	-2.422535381	-2.122830744
b0077	0.243041294	-0.724500283	-0.748849351
b0078	0.153410822	-0.744965254	-0.727009499
b3670	0.235289835	-0.700164471	-0.318738895
b3671	0.218276047	-0.518193317	-0.158129081
b1849	0.272044609	-1.114606898	-1.332954141
b2296	0.666314213	-0.127006951	-1.010188464
b3115	-1.095883735	-0.04245038	-0.029502161
b0077	0.243041294	-0.724500283	-0.748849351
b0078	0.153410822	-0.744965254	-0.727009499
b3670	0.235289835	-0.700164471	-0.318738895
b3671	0.218276047	-0.518193317	-0.158129081
b2428	-0.008428746	-0.527547554	-2.081762022
b3794	0.016282012	-0.132228166	0.182738884
b1817	0.299921756	0.133954307	-0.830544155
b1818	0.312745714	-0.150419112	-0.983504143
b1819	0.247793305	-0.318972856	-1.071781326
b2415	0.275929316	0.065712667	-0.266131736
b2416	0.241073785	-0.10224412	-0.713379671
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b2415	0.275929316	0.065712667	-0.266131736
b2416	0.241073785	-0.10224412	-0.713379671
b2417	0.208594021	-0.262762913	-0.886925272
b2429	-0.195887961	0.054173111	-0.361852765
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3224	-0.221798442	-0.330728179	-0.899530221
b0929	0.470065903	-1.366947595	-1.360493472
b2215	0.180532993	-0.433848486	-1.481278919
b4311	-0.963865634	0.575401842	1.013366611
b3225	0.161351327	-0.922523783	-1.612369453
b0221	0.058858714	0.802356074	1.683984438
b1695	-0.617418314	-0.109780179	1.599902451
b0221	0.058858714	0.802356074	1.683984438
b0221	0.058858714	0.802356074	1.683984438
b0221	0.058858714	0.802356074	1.683984438
b0221	0.058858714	0.802356074	1.683984438
b0221	0.058858714	0.802356074	1.683984438
b0221	0.058858714	0.802356074	1.683984438
b0221	0.058858714	0.802356074	1.683984438
b1091	0.17212047	-0.549630421	-0.559973652
b1094	0.150487571	-0.366042499	-0.435593845
b3957	0.304822764	-0.586949181	-0.826585179
b0054	0.363288825	-0.051777102	-0.269482443
b0641	0.107044349	-0.046373037	-0.134395909
b3199	0.192492278	0.283436952	0.128843753
b3200	0.277832573	-0.087066177	-0.125671511
b3201	0.31708722	-0.153016329	-0.195797867
b4261	0.186827508	0.271625516	-0.096252091
b4262	0.206756435	0.249321099	-0.282057528
b1519	0.144223745	0.348300037	0.25632475
b0118	0.402047907	-1.061697538	-1.00888662
b1276	0.294852654	-0.190204877	-0.109262951
b0118	0.402047907	-1.061697538	-1.00888662
b1276	0.294852654	-0.190204877	-0.109262951
b1302	-0.375965228	0.190155844	1.658963222
b1748	-0.505159497	-1.450730236	-0.500147163
b2662	0.131599457	0.934440097	1.032391987
b3359	0.648621793	-2.257859519	-2.191959289
b2371	-1.398028569	0.262619691	1.2446802
b0446	0.076394179	0.139269842	0.189798469
b0844	0.24525632	0.265629889	0.336291185
b3812	0.259950203	-0.043518294	0.161418627
b0383	0.336154067	-0.07032033	-0.006132627
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b1090	0.233504981	-0.329793853	-0.743952567
b1094	0.150487571	-0.366042499	-0.435593845
b2563	0.393340717	-0.068803648	0.22812842
b3475	0.193982246	0.172653902	-0.043669523
b4069	0.488244771	-0.640007244	-0.73103199
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1533	-0.085295966	-0.148269769	0.668422818
b2578	-0.126015615	0.43364473	0.495338119
b0010	0.143744701	0.227851405	0.353875624
b4067	-0.250315223	0.10756216	0.581775676
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1623	0.501724669	0.418627822	-0.270259382
b1096	0.091660672	0.215577092	0.714136922
b4039	-0.020491714	-0.518978238	-0.800839474
b1812	0.11716978	0.217245246	0.176662237
b3360	-0.045375105	0.452151054	0.369097243
b3665	-0.033872231	-0.46277402	-0.919272138
b3654	0.273410031	-1.908332416	-2.325834263
b3664	-0.871854692	-0.62485881	0.106393813
b3714	0.152194185	-1.230189399	-0.693570112
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0474	0.57512365	-0.460591865	-0.435302249
b0474	0.57512365	-0.460591865	-0.435302249
b0474	0.57512365	-0.460591865	-0.435302249
b0120	0.278096527	-0.482486963	-1.030548567
b3806	0.144328262	0.323438393	-0.329867675
b0474	0.57512365	-0.460591865	-0.435302249
b2393	0.529450094	-0.56393921	-0.773109513
b2964	0.025561925	-1.549889762	-2.253176812
b2406	-0.513452515	0.334296347	0.436508097
b0411	0.335973842	-0.63203516	-0.914737942
b0030	0.199519686	-0.367608182	-1.118270635
b1993	-0.198102987	0.239782674	0.963353878
b0158	0.095223636	0.110741636	-0.042648988
b1709	0.204099425	0.645077463	0.342977574
b1711	0.155344172	0.123953326	-0.171191324
b1992	-0.064888044	0.08156549	0.955226756
b1252	0.182673846	0.515640987	-0.213495868
b3005	0.351235761	0.162168647	-0.929169701
b3006	0.13014834	0.354009583	-0.631932714
b3966	0.279530185	-0.967597957	-0.680885948
b3034	0.039959017	-0.122851129	-0.044544218
b3397	0.250664675	-0.404698809	0.468576652
b0469	0.841130918	-0.533754434	-0.61944728
b2750	-1.212175863	0.819276552	4.298057615
b1131	0.189370789	-0.720192443	-1.450484899
b1131	0.189370789	-0.720192443	-1.450484899
b4177	0.481351959	0.038800036	-0.845114474
b0677	0.011246254	0.312479219	-0.239487757
b0110	0.154399784	-0.049488139	-0.451755276
b0867	0.152020125	0.167998726	-0.114298395
b2435	0.326258269	0.214840331	-0.090221981
b2817	0.27052433	-0.322405224	0.23584885
b4169	0.195830896	0.232364509	0.120114391
b1107	0.222446706	-0.272922825	-0.526667902
b0433	0.217699408	-0.46792388	-0.023132183
b0110	0.154399784	-0.049488139	-0.451755276
b0867	0.152020125	0.167998726	-0.114298395
b2435	0.326258269	0.214840331	-0.090221981
b2817	0.27052433	-0.322405224	0.23584885
b4169	0.195830896	0.232364509	0.120114391
b1192	0.322802663	0.398193505	0.002028331
b2175	0.22606857	0.511100697	0.677792924
b1107	0.222446706	-0.272922825	-0.526667902
b0433	0.217699408	-0.46792388	-0.023132183
b1107	0.222446706	-0.272922825	-0.526667902
b3619	0.240262313	-0.422066591	-1.282070279
b2937	0.409014039	-1.103853042	-1.018398322
b0433	0.217699408	-0.46792388	-0.023132183
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3018	0.285243714	0.206165451	0.161727261
b3018	0.285243714	0.206165451	0.161727261
b3018	0.285243714	0.206165451	0.161727261
b3018	0.285243714	0.206165451	0.161727261
b3018	0.285243714	0.206165451	0.161727261
b3018	0.285243714	0.206165451	0.161727261
b3018	0.285243714	0.206165451	0.161727261
b3958	0.727085156	-2.288723762	-2.471452996
b0572	-1.245596882	-0.230892744	1.220573517
b0573	0.07691763	0.155009722	0.966432319
b0574	-0.786281082	-0.080885884	1.066472843
b0575	-0.943494964	0.262223244	1.058871703
b0159	0.320456557	-0.548679502	-1.077769088
b2913	0.40264286	-0.378352686	-0.369865413
b1513	-0.4520056	-0.759759537	-1.708338676
b1514	-0.531043237	0.845506588	0.641747153
b1515	-0.546057272	0.976109752	0.937919562
b1516	-0.422472479	0.502954719	0.874521286
b1511	-0.154818262	0.232256103	0.6877966
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1601	-0.066261144	0.280358654	0.174354948
b4006	0.27828242	-1.417392591	-1.97311681
b0522	0.283221531	-1.82738885	-2.357640403
b0523	0.160950895	-1.902789362	-2.410240637
b0116	0.458685068	-0.695957379	-0.538553992
b0726	0.457436097	-0.097371429	0.394023126
b0727	0.666786146	0.031675298	0.286400737
b2587	0.241070767	-0.724796228	-1.021488735
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3454	0.069588153	-1.877380805	-1.544696576
b3455	0.117845286	-1.629514896	-1.472696249
b3456	0.106386921	-1.798723289	-1.628742856
b3457	0.149797156	-1.782247845	-1.619736117
b3460	0.101120603	-0.191492554	0.328584259
b1483	0.131573919	0.773979713	1.182768895
b1484	-0.480793597	0.58131034	0.709851454
b1485	-0.567504844	0.537689949	0.461212209
b1486	-1.191764793	0.261516888	0.780802258
b1487	-0.817256049	-0.281121931	0.285027506
b3540	0.325598701	-1.134430665	-0.633259365
b3541	0.388685578	-0.858665214	-0.208497304
b3542	0.450045685	-0.586714925	0.12535561
b3543	0.440783128	-0.182120659	0.531640483
b3544	0.387216832	-0.833918365	-0.701660488
b1488	-0.204584408	-1.383623478	-0.452155213
b0092	0.08234749	0.287553787	0.129472617
b0381	0.303296709	-0.45567769	-0.720019177
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1325	0.16904047	0.147431058	0.04309381
b1190	0.41669843	-0.669696612	0.036225738
b4053	0.168571687	-0.32080637	-0.738426957
b4130	-0.606040951	0.301230704	0.166719973
b4208	0.337868892	-0.65375955	-0.976730728
b0007	0.015854096	0.353267794	-0.593092072
b0870	0.266402323	-0.597006978	-0.388017835
b2551	0.382354478	-0.76993415	-1.147270183
b2290	0.084421425	0.45657852	0.145274636
b2379	0.178069505	3.152999059	4.019236096
b0870	0.266402323	-0.597006978	-0.388017835
b2551	0.382354478	-0.76993415	-1.147270183
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
