short_codes,Time (s),values,strain,experiment_IDs
Y27,16597.777,25710.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,17190.241,27064.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,17782.705,30050.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,18375.187,24669.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,18967.643,32716.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,19560.161,26868.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,20152.67,29464.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,20745.071,30106.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,21337.571,29561.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,21930.018,35981.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,22522.482,33920.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,23114.982,37157.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,23707.393,33334.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,24299.893,33392.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,24892.357,38553.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,25484.803,43335.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,26077.259,45208.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,26669.759,46926.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,27262.187,47335.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,27854.643,48883.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,28447.071,48611.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,29039.545,49226.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,29632.027,48332.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,30224.491,50003.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,30816.902,49255.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,31409.33,51156.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,32001.75,50809.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,32594.223,52750.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,33186.643,52511.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,33779.062,52033.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,34371.473,51694.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,34963.964,53648.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,35556.384,52495.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,36148.893,53993.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,36741.357,53704.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,37333.803,54223.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,37926.205,57919.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,38518.714,56536.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,39111.134,57471.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,39703.607,58530.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,40296.062,59727.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,40888.553,61062.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,41480.937,60286.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,42073.402,62619.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,42665.893,62413.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,43258.384,64124.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,43850.839,64677.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,44443.25,65923.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,45035.786,67068.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,45628.205,68033.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,46220.643,67778.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,46813.071,70169.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,47405.536,70049.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,47997.937,72120.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,48590.384,73668.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,49182.786,73811.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,49775.223,76390.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,50367.652,77689.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,50960.08,78667.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,51552.464,79078.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,52144.964,78588.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,52737.33,79716.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,53329.75,80881.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,53922.205,83460.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,54514.625,84207.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,55107.018,84627.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,55699.491,89418.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,56291.902,93213.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,56885.223,97186.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,57476.777,101022.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,58070.027,104545.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,58661.687,108944.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,59254.92,111822.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,59846.598,118041.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,60439.857,121987.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,61031.545,124564.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,61624.714,127183.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,62216.42,131180.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,62810.446,137473.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,63401.286,142851.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,63994.455,149368.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,64586.17,141920.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,65179.134,147171.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,65771.071,146866.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,66363.893,150415.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,66956.795,150713.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,67548.482,150272.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,68141.232,152323.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,68734.062,151774.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,69325.866,149434.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,69918.803,149519.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,70510.714,149694.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,71103.411,150341.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,71696.259,150119.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,72288.071,149993.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,72880.786,148135.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,73473.58,147944.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,74065.5,147148.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,74658.187,145270.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,75251.018,144601.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,75842.866,145055.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,76435.625,144759.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,77028.393,145182.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,77621.08,144523.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,78212.795,144217.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,78810.393,142551.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,79397.786,145436.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,79990.536,142556.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,80583.178,141236.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,81175.866,141747.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,81768.518,142437.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,82360.196,141302.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,82952.982,142292.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,83545.455,141901.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,84137.973,142246.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,84730.491,141255.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,85323.053,141749.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,85915.625,138919.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,86507.893,139494.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,87100.482,140139.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,87693.098,139098.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,88286.446,140645.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,88878.17,139501.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,89470.839,139030.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,90063.911,139741.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,90656.661,138970.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,91248.634,138774.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,91841.482,139139.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,92433.83,140421.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,93026.5,137643.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,93619.027,138988.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,94211.625,140937.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,94804.161,137921.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,95397.223,138713.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,95990.286,139892.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,96582.116,138537.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,97174.741,140150.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,97767.268,139005.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y46,9.464,23762.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,606.116,23415.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,1197.991,23412.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,1790.464,23527.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,2382.955,23058.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,2975.482,23142.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,3567.812,23203.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,4160.241,23331.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,4752.643,23140.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,5345.08,24279.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,5937.536,24022.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,6529.973,25011.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,7122.446,24766.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,7714.893,27385.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,8307.366,36837.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,8899.857,32743.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,9492.33,38363.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,10084.768,35503.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,10677.223,34704.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,11269.696,36688.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,11862.143,36608.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,12454.571,45134.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,13047.009,37702.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,13639.491,37126.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,14231.946,40118.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,14824.366,49560.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,15416.821,45650.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,16009.214,43437.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,16601.732,37905.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,17194.196,39327.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,17786.661,31659.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,18379.143,33817.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,18971.607,32445.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,19564.098,34656.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,20156.625,35829.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,20749.027,34742.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,21341.536,35925.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,21933.955,38023.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,22526.42,39834.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,23118.902,42541.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,23711.321,45892.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,24303.812,49411.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,24896.268,53929.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,25488.714,58858.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,26081.161,63924.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,26673.67,70057.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,27266.089,76086.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,27858.545,83117.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,28450.955,89587.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,29043.446,94651.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,29635.92,101310.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,30228.366,108160.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,30820.786,114717.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,31413.205,119898.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,32005.625,127846.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,32598.098,134635.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,33190.527,142824.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,33782.928,131054.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,34375.339,147362.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,34967.83,152375.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,35560.25,153153.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,36152.759,155679.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,36745.223,153808.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,37337.652,152585.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,37930.062,153721.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,38522.562,152267.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,39114.991,151660.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,39707.446,149777.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,40299.893,149264.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,40892.384,149207.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,41484.75,149711.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,42077.223,147147.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,42669.714,148796.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,43262.196,148791.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,43854.652,148904.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,44447.071,148081.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,45039.607,149828.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,45632.018,149447.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,46224.464,148978.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,46816.884,148196.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,47409.348,149172.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,48001.75,148453.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,48594.196,146847.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,49186.598,150173.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,49779.045,146691.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,50371.473,148789.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,50963.893,148535.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,51556.286,149355.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,52148.777,147552.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,52741.143,149606.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,53333.562,149001.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,53926.018,149056.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,54518.437,150141.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,55110.83,149163.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,55703.312,149812.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,56295.714,148281.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,56889.045,149564.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,57480.589,150664.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,58073.839,151108.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,58665.5,150577.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,59258.732,151288.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
Y46,59850.411,151825.0,mNeonGreen,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB
