,trial_IDs,short_code,base_media,additional_compounds,strains,date
26,r1_ecoli_mRuby-r3_pf-1_pf-5_ecoli,A27,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r3,29-4-22
27,r1_ecoli_mRuby-r1_pf-1_pf-5_ecoli,A28,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r1,29-4-22
28,r3_ecoli_mRuby-r1_pf-1_pf-5_ecoli,A29,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r3;pf:r1,29-4-22
29,r10_ecoli_mRuby-r1_pf-1_pf-5_ecoli,A30,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r10;pf:r1,29-4-22
30,r20_ecoli_mRuby-r1_pf-1_pf-5_ecoli,A31,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r20;pf:r1,29-4-22
31,r1_ecoli_mRuby-1_pf-5_ecoli,A32,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r0,29-4-22
32,1_pf-5_ecoli,A33,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r0;pf:r0,29-4-22
33,r1_pf-1_pf-5_ecoli,A34,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r0;pf:r1,29-4-22
34,r1_ecoli_ACS-r50_pf-1_pf-5_ecoli,A35,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r50,29-4-22
35,r1_ecoli_ACS-r20_pf-1_pf-5_ecoli,A36,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r20,29-4-22
36,r1_ecoli_ACS-r10_pf-1_pf-5_ecoli,A37,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r10,29-4-22
37,r1_ecoli_ACS-r3_pf-1_pf-5_ecoli,A38,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r3,29-4-22
38,r1_ecoli_ACS-r1_pf-1_pf-5_ecoli,A39,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r1,29-4-22
39,r3_ecoli_ACS-r1_pf-1_pf-5_ecoli,A40,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r3;pf:r1,29-4-22
40,r10_ecoli_ACS-r1_pf-1_pf-5_ecoli,A41,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r10;pf:r1,29-4-22
41,r20_ecoli_ACS-r1_pf-1_pf-5_ecoli,A42,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r20;pf:r1,29-4-22
42,r1_ecoli_ACS-1_pf-5_ecoli,A43,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r0,29-4-22
43,1_pf-5_ecoli,A44,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r0;pf:r0,29-4-22
44,r1_pf-4_pf-5_ecoli,A45,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r0;pf:r1,29-4-22
45,r1_ecoli_mRuby-r50_pf-4_pf-5_ecoli,A46,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r50,29-4-22
46,r1_ecoli_mRuby-r20_pf-4_pf-5_ecoli,A47,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r20,29-4-22
47,r1_ecoli_mRuby-r10_pf-4_pf-5_ecoli,A48,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r10,29-4-22
48,r1_ecoli_mRuby-r3_pf-4_pf-5_ecoli,A49,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r3,29-4-22
49,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,A50,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r1,29-4-22
50,r3_ecoli_mRuby-r1_pf-4_pf-5_ecoli,A51,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r3;pf:r1,29-4-22
51,r10_ecoli_mRuby-r1_pf-4_pf-5_ecoli,A52,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r10;pf:r1,29-4-22
52,r20_ecoli_mRuby-r1_pf-4_pf-5_ecoli,A53,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r20;pf:r1,29-4-22
53,r1_ecoli_mRuby-4_pf-5_ecoli,A54,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r0,29-4-22
54,4_pf-5_ecoli,A55,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r0;pf:r0,29-4-22
55,r1_pf-4_pf-5_ecoli,A56,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r0;pf:r1,29-4-22
56,r1_ecoli_ACS-r50_pf-4_pf-5_ecoli,A57,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r50,29-4-22
57,r1_ecoli_ACS-r20_pf-4_pf-5_ecoli,A58,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r20,29-4-22
58,r1_ecoli_ACS-r10_pf-4_pf-5_ecoli,A59,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r10,29-4-22
59,r1_ecoli_ACS-r3_pf-4_pf-5_ecoli,A60,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r3,29-4-22
60,r1_ecoli_ACS-r1_pf-4_pf-5_ecoli,A61,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r1,29-4-22
61,r3_ecoli_ACS-r1_pf-4_pf-5_ecoli,A62,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r3;pf:r1,29-4-22
62,r10_ecoli_ACS-r1_pf-4_pf-5_ecoli,A63,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r10;pf:r1,29-4-22
63,r20_ecoli_ACS-r1_pf-4_pf-5_ecoli,A64,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r20;pf:r1,29-4-22
64,r1_ecoli_ACS-4_pf-5_ecoli,A65,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r0,29-4-22
65,4_pf-5_ecoli,A66,93465/19/1,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r0;pf:r0,29-4-22
