,trial_IDs,short_code,base_media,additional_compounds,strains,date
31,r1_ecoli_mRuby--5_ecoli,G32,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r0,"Apr 29, 22"
32,-5_ecoli,G33,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r0;pf:r0,"Apr 29, 22"
33,r1_pf--5_ecoli,G34,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r0;pf:r1,"Apr 29, 22"
34,r1_ecoli_ACS-r50_pf--5_ecoli,G35,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r50,"Apr 29, 22"
35,r1_ecoli_ACS-r20_pf--5_ecoli,G36,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r20,"Apr 29, 22"
36,r1_ecoli_ACS-r10_pf--5_ecoli,G37,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r10,"Apr 29, 22"
37,r1_ecoli_ACS-r3_pf--5_ecoli,G38,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r3,"Apr 29, 22"
38,r1_ecoli_ACS-r1_pf--5_ecoli,G39,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r1,"Apr 29, 22"
39,r3_ecoli_ACS-r1_pf--5_ecoli,G40,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r3;pf:r1,"Apr 29, 22"
40,r10_ecoli_ACS-r1_pf--5_ecoli,G41,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r10;pf:r1,"Apr 29, 22"
41,r20_ecoli_ACS-r1_pf--5_ecoli,G42,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r20;pf:r1,"Apr 29, 22"
42,r1_ecoli_ACS--5_ecoli,G43,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r0,"Apr 29, 22"
43,-5_ecoli,G44,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r0;pf:r0,"Apr 29, 22"
44,r1_pf--5_ecoli,G45,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r0;pf:r1,"Apr 29, 22"
45,r1_ecoli_mRuby-r50_pf--5_ecoli,G46,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r50,"Apr 29, 22"
46,r1_ecoli_mRuby-r20_pf--5_ecoli,G47,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r20,"Apr 29, 22"
47,r1_ecoli_mRuby-r10_pf--5_ecoli,G48,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r10,"Apr 29, 22"
48,r1_ecoli_mRuby-r3_pf--5_ecoli,G49,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r3,"Apr 29, 22"
49,r1_ecoli_mRuby-r1_pf--5_ecoli,G50,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r1,"Apr 29, 22"
50,r3_ecoli_mRuby-r1_pf--5_ecoli,G51,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r3;pf:r1,"Apr 29, 22"
51,r10_ecoli_mRuby-r1_pf--5_ecoli,G52,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r10;pf:r1,"Apr 29, 22"
52,r20_ecoli_mRuby-r1_pf--5_ecoli,G53,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r20;pf:r1,"Apr 29, 22"
53,r1_ecoli_mRuby--5_ecoli,G54,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r0,"Apr 29, 22"
54,-5_ecoli,G55,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r0;pf:r0,"Apr 29, 22"
55,r1_pf--5_ecoli,G56,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r0;pf:r1,"Apr 29, 22"
56,r1_ecoli_ACS-r50_pf--5_ecoli,G57,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r50,"Apr 29, 22"
57,r1_ecoli_ACS-r20_pf--5_ecoli,G58,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r20,"Apr 29, 22"
58,r1_ecoli_ACS-r10_pf--5_ecoli,G59,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r10,"Apr 29, 22"
59,r1_ecoli_ACS-r3_pf--5_ecoli,G60,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r3,"Apr 29, 22"
60,r1_ecoli_ACS-r1_pf--5_ecoli,G61,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r1,"Apr 29, 22"
61,r3_ecoli_ACS-r1_pf--5_ecoli,G62,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r3;pf:r1,"Apr 29, 22"
62,r10_ecoli_ACS-r1_pf--5_ecoli,G63,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r10;pf:r1,"Apr 29, 22"
63,r20_ecoli_ACS-r1_pf--5_ecoli,G64,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r20;pf:r1,"Apr 29, 22"
64,r1_ecoli_ACS--5_ecoli,G65,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r0,"Apr 29, 22"
65,-5_ecoli,G66,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r0;pf:r0,"Apr 29, 22"
