short_codes,trial_IDs,Time (s),pf:Fluorescence,ecoli:Fluorescence_1,OD:Raw_OD(590)
B1,,104894.68458965643,193773.0,34235.0,0.286
B1,,105487.22159170323,169397.0,40582.0,0.328
B1,,106079.73390058479,123662.0,23627.0,0.21
B1,,106672.28882744885,88771.0,19686.0,0.185
B1,,107264.81512306287,81155.0,13986.0,0.169
B1,,107857.33514046053,207603.0,30629.0,0.195
B1,,108449.82728870615,86178.0,16836.0,0.181
B1,,109042.31918245617,117055.0,28637.0,0.218
B1,,109634.71801016082,145801.0,15623.0,0.203
B1,,110227.27415252193,126609.0,18523.0,0.185
B1,,110819.81853790204,151976.0,12458.0,0.223
B1,,111412.33385233919,62681.0,11341.0,0.163
B1,,112004.86944817251,65058.0,11315.0,0.188
B1,,112597.31396655702,64128.0,11374.0,0.174
B1,,113190.01028468566,77453.0,11071.0,0.205
B1,,113782.53396783628,83326.0,11680.0,0.177
B1,,114375.11549089913,235922.0,14515.0,0.261
B1,,114967.66222006579,57567.0,10241.0,0.16
B1,,115560.27998698829,61529.0,10160.0,0.159
B1,,116152.82313976607,55048.0,9856.0,0.156
B1,,116745.25308428363,56680.0,9574.0,0.185
B1,,117337.81056531433,91192.0,9483.0,0.173
B1,,117930.359383443,48650.0,9116.0,0.161
B1,,118522.90370076755,51483.0,9439.0,0.157
B1,,119115.39849459064,57711.0,9781.0,0.155
B1,,119707.9309790936,53511.0,9315.0,0.161
B1,,120300.44004546783,44784.0,9722.0,0.153
B1,,120892.92642302632,41411.0,8932.0,0.154
B1,,121485.47865376463,42171.0,9562.0,0.151
B1,,122078.04294294592,42316.0,9183.0,0.152
B1,,122670.6030134503,40039.0,8682.0,0.153
B1,,123263.19058633041,43014.0,8558.0,0.151
B1,,123855.73260891814,38759.0,8525.0,0.151
B1,,124448.2543262427,38058.0,8304.0,0.15
B1,,125040.75944572371,37533.0,8316.0,0.148
B1,,125633.34572905702,37699.0,10607.0,0.148
B1,,126225.89911951755,36325.0,7993.0,0.15
B1,,126818.41079122807,35264.0,7983.0,0.148
B1,,127411.01782145468,34936.0,7686.0,0.147
B1,,128003.50244839181,34575.0,7606.0,0.144
B1,,128596.04190098685,34351.0,7676.0,0.144
B1,,129188.60712097953,59360.0,7518.0,0.143
B1,,129781.1511803728,32798.0,7128.0,0.142
B1,,130373.75279579678,32062.0,6931.0,0.141
B1,,130966.17639733187,30821.0,6739.0,0.141
B1,,131558.8504409357,30379.0,6526.0,0.141
B1,,132151.45836728803,30013.0,6393.0,0.139
B1,,132743.93642057746,29125.0,6465.0,0.138
B1,,133336.4590561038,27961.0,6207.0,0.136
B1,,133928.97633384506,27839.0,6032.0,0.136
B1,,134521.58882923977,26288.0,6017.0,0.133
B1,,135114.02855445907,26102.0,5853.0,0.134
B1,,135706.54285953948,25710.0,5623.0,0.13
B1,,136299.10955657894,24287.0,5549.0,0.131
B1,,136891.6641949927,23958.0,5544.0,0.13
B1,,137484.17972532893,23158.0,5183.0,0.127
B1,,138076.80365402045,22341.0,4955.0,0.129
B1,,138669.34008333334,21512.0,4764.0,0.128
B1,,139261.92755815058,20683.0,4631.0,0.127
B1,,139854.39411827485,20391.0,4436.0,0.126
B1,,140446.99983940058,20313.0,4361.0,0.126
B1,,141039.39673289473,19499.0,4180.0,0.124
B1,,141631.97725453216,18790.0,3991.0,0.126
B1,,142224.46622540208,18139.0,3732.0,0.124
B1,,142817.05943636692,17952.0,3714.0,0.125
B1,,143409.52433987576,17539.0,3468.0,0.124
B1,,144002.05686652046,17193.0,3376.0,0.122
B1,,144594.53108910818,16720.0,3031.0,0.123
B1,,145187.08408154242,16782.0,2782.0,0.124
B1,,145779.6672483918,15973.0,2481.0,0.122
B1,,146372.10183899853,15098.0,2419.0,0.12
B1,,146964.83900548247,14505.0,2187.0,0.117
B1,,147557.30515625002,15939.0,2028.0,0.112
B1,,148149.76287978803,14254.0,1799.0,0.108
B1,,148742.2422052997,14187.0,1540.0,0.105
B1,,149334.74074755117,13151.0,1309.0,0.098
B1,,149927.19783311404,13916.0,1145.0,0.089
B1,,150519.8209022661,16148.0,1118.0,0.08
B1,,151112.235826462,14457.0,1059.0,0.068
B1,,151704.81657989766,13140.0,891.0,0.063
B1,,152297.25907295322,13153.0,876.0,0.061
B1,,152889.76690497075,13643.0,1011.0,0.059
B1,,153482.26285727342,12525.0,948.0,0.059
B1,,154074.89901951753,13113.0,975.0,0.056
B1,,154667.32982693714,12621.0,945.0,0.058
B1,,155259.93257591373,12946.0,1021.0,0.056
B1,,155852.4436066886,12922.0,862.0,0.058
B1,,156444.88220815058,13362.0,885.0,0.06
B1,,157037.4625441155,12712.0,935.0,0.058
B1,,157629.96748951022,12562.0,888.0,0.059
B1,,158222.48060818715,12254.0,793.0,0.058
B1,,158815.0556363304,12277.0,842.0,0.059
B1,,159407.591410307,11919.0,849.0,0.061
B1,,160000.0751059576,12080.0,841.0,0.059
B1,,160592.57589923244,12031.0,857.0,0.06
B1,,161185.198906981,11796.0,858.0,0.058
B1,,161777.78019075294,11765.0,765.0,0.058
B1,,162370.18227945906,11741.0,755.0,0.058
B1,,162962.82974868422,11905.0,816.0,0.058
B1,,163555.43822247806,11708.0,827.0,0.057
B1,,164147.92380760235,11715.0,822.0,0.058
B1,,164740.50186165937,11547.0,813.0,0.057
B1,,165332.895298538,11433.0,799.0,0.062
B1,,165925.48665142545,11467.0,721.0,0.064
B1,,166518.06175614035,11383.0,706.0,0.068
B1,,167110.76531772662,11017.0,787.0,0.07
B1,,167703.25480906432,10918.0,643.0,0.072
B1,,168295.81162828943,10577.0,640.0,0.073
B1,,168888.39744477338,10413.0,616.0,0.075
B1,,169480.93910749268,10077.0,577.0,0.076
B1,,170073.40505577484,10229.0,551.0,0.078
B1,,170666.0999325658,9608.0,601.0,0.079
B1,,171258.53875310672,9529.0,528.0,0.08
B1,,171851.0313649854,9602.0,486.0,0.077
B1,,172443.66937328214,8854.0,550.0,0.082
B1,,173036.31707978802,9174.0,516.0,0.081
B1,,173628.74704751463,8558.0,514.0,0.08
B1,,174221.2932664839,8402.0,449.0,0.082
B1,,174813.89841476607,8377.0,361.0,0.08
B1,,175406.47038958335,8359.0,494.0,0.081
B1,,175999.0225033626,8130.0,525.0,0.081
B1,,176591.6985414474,7968.0,452.0,0.082
B1,,177184.33627817986,7900.0,470.0,0.081
B2,cpd11594,17.437182492690056,57639.0,19602.0,0.235
B2,cpd11594,612.0807006944443,56780.0,19629.0,0.246
B2,cpd11594,1204.6030660818715,57718.0,19849.0,0.253
B2,cpd11594,1797.1184104166666,59113.0,19566.0,0.258
B2,cpd11594,2389.6293491593565,61986.0,19838.0,0.269
B2,cpd11594,2982.2451478435673,65624.0,20158.0,0.272
B2,cpd11594,3574.7394448099417,69041.0,20051.0,0.278
B2,cpd11594,4167.291392763158,71713.0,20550.0,0.281
B2,cpd11594,4759.749574013157,74118.0,21008.0,0.286
B2,cpd11594,5352.226468421053,76561.0,21529.0,0.288
B2,cpd11594,5944.68672620614,80559.0,21767.0,0.288
B2,cpd11594,6537.197492141812,84732.0,22278.0,0.292
B2,cpd11594,7129.658575438596,85827.0,23204.0,0.293
B2,cpd11594,7722.119183114035,87463.0,23874.0,0.297
B2,cpd11594,8314.589749780702,90745.0,24260.0,0.297
B2,cpd11594,8907.125591959064,91582.0,25018.0,0.296
B2,cpd11594,9499.589261513158,92089.0,26124.0,0.296
B2,cpd11594,10092.044244152046,91982.0,26733.0,0.296
B2,cpd11594,10684.59565376462,92741.0,27432.0,0.293
B2,cpd11594,11277.059908881578,94049.0,28462.0,0.293
B2,cpd11594,11869.561323976608,93087.0,29437.0,0.291
B2,cpd11594,12462.074853106724,93970.0,30054.0,0.292
B2,cpd11594,13054.525985818713,93598.0,30800.0,0.292
B2,cpd11594,13646.927445285088,94402.0,31399.0,0.29
B2,cpd11594,14239.525828399126,96194.0,32484.0,0.288
B2,cpd11594,14831.958014400589,95167.0,33050.0,0.29
B2,cpd11594,15424.420524013158,95750.0,33679.0,0.288
B2,cpd11594,16016.964152814326,95256.0,34646.0,0.285
B2,cpd11594,16609.431545248535,96134.0,35063.0,0.287
B2,cpd11594,17201.92670263158,98626.0,35721.0,0.287
B2,cpd11594,17794.446215168125,96074.0,36518.0,0.287
B2,cpd11594,18386.95914254386,96579.0,37218.0,0.288
B2,cpd11594,18979.46532701023,95580.0,37663.0,0.286
B2,cpd11594,19571.990786805556,97357.0,38297.0,0.287
B2,cpd11594,20164.528064071634,97003.0,38591.0,0.285
B2,cpd11594,20757.044207273393,96796.0,39154.0,0.289
B2,cpd11594,21349.530477704677,97444.0,39653.0,0.286
B2,cpd11594,21942.065904276315,98407.0,39730.0,0.286
B2,cpd11594,22534.59832613304,96960.0,40720.0,0.288
B2,cpd11594,23127.081862828953,98112.0,40988.0,0.288
B2,cpd11594,23719.551082602342,98255.0,41019.0,0.288
B2,cpd11594,24312.06204864766,98321.0,41700.0,0.287
B2,cpd11594,24904.57369232456,98180.0,41610.0,0.288
B2,cpd11594,25497.192146966376,98099.0,42317.0,0.289
B2,cpd11594,26089.73537185673,98880.0,42278.0,0.287
B2,cpd11594,26682.251553728074,98768.0,42954.0,0.287
B2,cpd11594,27274.741707529243,99510.0,43359.0,0.287
B2,cpd11594,27867.299149890354,100084.0,43060.0,0.29
B2,cpd11594,28459.77462383041,99170.0,43362.0,0.289
B2,cpd11594,29052.297226571638,99997.0,43988.0,0.288
B2,cpd11594,29644.827986440057,100045.0,43764.0,0.289
B2,cpd11594,30237.282831140354,99652.0,44174.0,0.289
B2,cpd11594,30829.786733296787,99620.0,44000.0,0.287
B2,cpd11594,31422.255213852342,100447.0,43821.0,0.288
B2,cpd11594,32015.36283019006,99665.0,44353.0,0.286
B2,cpd11594,32607.234835672512,99618.0,44068.0,0.287
B2,cpd11594,33200.18353951024,102366.0,44116.0,0.286
B2,cpd11594,33792.272625731006,100051.0,44623.0,0.289
B2,cpd11594,34384.99975734649,101265.0,44503.0,0.288
B2,cpd11594,34977.37028877924,102048.0,44702.0,0.29
B2,cpd11594,35570.0976747076,101667.0,44779.0,0.287
B2,cpd11594,36162.36495252193,101892.0,44898.0,0.289
B2,cpd11594,36754.803826900585,102139.0,45002.0,0.288
B2,cpd11594,37347.2698253655,101918.0,45173.0,0.288
B2,cpd11594,37939.769586111106,101042.0,45410.0,0.285
B2,cpd11594,38532.227598976606,102501.0,45398.0,0.287
B2,cpd11594,39124.69970628655,102058.0,45459.0,0.286
B2,cpd11594,39717.20306695907,102355.0,45204.0,0.287
B2,cpd11594,40309.69415522661,102996.0,45594.0,0.286
B2,cpd11594,40902.14685274123,102293.0,45350.0,0.284
B2,cpd11594,41494.724779678356,101880.0,45678.0,0.285
B2,cpd11594,42087.21628355263,103500.0,45908.0,0.286
B2,cpd11594,42679.76975818714,103028.0,46264.0,0.282
B2,cpd11594,43272.2891802266,102777.0,46105.0,0.285
B2,cpd11594,43864.74336820175,103704.0,45743.0,0.282
B2,cpd11594,44457.23272865498,103428.0,46068.0,0.283
B2,cpd11594,45049.76675307018,104801.0,46989.0,0.277
B2,cpd11594,45642.21698768275,104834.0,46974.0,0.28
B2,cpd11594,46234.65241578947,103955.0,46185.0,0.279
B2,cpd11594,46827.139121747074,105169.0,46214.0,0.279
B2,cpd11594,47419.58095445906,105577.0,46563.0,0.281
B2,cpd11594,48012.07614820907,104997.0,45936.0,0.28
B2,cpd11594,48604.55811644736,103905.0,46225.0,0.279
B2,cpd11594,49197.11923450292,107129.0,45835.0,0.282
B2,cpd11594,49789.71486465644,107323.0,45590.0,0.29
B2,cpd11594,50382.12904459064,115410.0,48450.0,0.32
B2,cpd11594,50974.7038125731,121769.0,48978.0,0.322
B2,cpd11594,51567.209188231,124656.0,48434.0,0.321
B2,cpd11594,52159.76417905701,126378.0,48544.0,0.327
B2,cpd11594,52752.226890716374,127755.0,49217.0,0.327
B2,cpd11594,53344.666067690065,127768.0,49679.0,0.344
B2,cpd11594,53937.12918592836,135412.0,52316.0,0.349
B2,cpd11594,54529.56838256578,135627.0,52812.0,0.349
B2,cpd11594,55122.06898084795,138333.0,52356.0,0.344
B2,cpd11594,55714.59452309942,137486.0,53260.0,0.343
B2,cpd11594,56307.11644188596,143255.0,53465.0,0.345
B2,cpd11594,56899.62044565059,143563.0,55302.0,0.348
B2,cpd11594,57492.156467068715,149380.0,57326.0,0.343
B2,cpd11594,58084.65165741959,154456.0,59630.0,0.345
B2,cpd11594,58677.20195891813,157433.0,61680.0,0.338
B2,cpd11594,59269.74846151316,160917.0,61509.0,0.339
B2,cpd11594,59862.32961564328,161191.0,61865.0,0.335
B2,cpd11594,60454.796592141814,159395.0,61288.0,0.34
B2,cpd11594,61047.31131348683,163259.0,61542.0,0.336
B2,cpd11594,61639.842260087724,164187.0,61341.0,0.331
B2,cpd11594,62232.3112368421,166163.0,61000.0,0.33
B2,cpd11594,62824.87275442251,163191.0,62263.0,0.326
B2,cpd11594,63417.35137222221,161479.0,61606.0,0.324
B2,cpd11594,64009.93913819444,164393.0,63548.0,0.327
B2,cpd11594,64602.41834926901,167809.0,66060.0,0.339
B2,cpd11594,65194.92727006579,166942.0,65903.0,0.341
B2,cpd11594,65787.48543472221,164359.0,65729.0,0.345
B2,cpd11594,66379.97834685672,164358.0,65775.0,0.342
B2,cpd11594,66972.55232258771,167256.0,68403.0,0.351
B2,cpd11594,67565.03459740497,166055.0,67878.0,0.348
B2,cpd11594,68157.54682320905,159282.0,70811.0,0.382
B2,cpd11594,68750.01611140351,246923.0,123317.0,0.688
B2,cpd11594,69342.49857638888,303512.0,143892.0,0.708
B2,cpd11594,69934.96389334794,295170.0,147207.0,0.661
B2,cpd11594,70527.48938223685,258264.0,134661.0,0.693
B2,cpd11594,71119.94558771931,276669.0,132503.0,0.749
B2,cpd11594,71712.42074345761,282772.0,139182.0,0.744
B2,cpd11594,72304.92720105994,250261.0,124141.0,0.715
B2,cpd11594,72897.48369608918,254211.0,125907.0,0.714
B2,cpd11594,73490.03349678362,269681.0,135434.0,0.618
B2,cpd11594,74082.5549429459,296431.0,144505.0,0.747
B2,cpd11594,74675.04054163012,293947.0,143298.0,0.687
B2,cpd11594,75267.62172386696,290094.0,142043.0,0.751
B2,cpd11594,75860.15031352338,272881.0,134433.0,0.731
B2,cpd11594,76452.67421206139,262651.0,128812.0,0.701
B2,cpd11594,77045.18940456871,284788.0,145735.0,0.705
B2,cpd11594,77637.70693274854,299772.0,152031.0,0.709
B2,cpd11594,78230.20534239766,246750.0,130819.0,0.693
B2,cpd11594,78822.70352668127,289709.0,146389.0,0.691
B2,cpd11594,79415.22579071637,240677.0,127335.0,0.713
