,SampleName,12_Ketolithocholic acid,2_deoxy_Ribose,5_Oxoproline,Alanine,Allose,Arabinose,Asparagine,Aspartic acid,cellb,Cholic/Allocholic acid,cit,Cysteine,dca,Deoxycholic acid,ddca,galt,Fructose,Fucose,fum,Galactose,glc__D,Glutamic acid,gly,hxa,Histidine,indole,Isoleucine,Leucine,Linoleic acid,Lithocholic/Allolithocholic/Isolithocholic acid,Lysine,mal__L,melib,met__L,ttdca,N_Acetyl_Glucosamine,nac,octa,orn__L,hdca,Phenylalanine,Picolinic acid,Proline,pyr,raffin,Rhamnose,Ribose,Serine,succ,sucr,Threonine,tyr__L,Ursodeoxycholic acid,pta,Valine,alpha_Ketoglutaric acid ,cis_Oleic acid,meso_Erythritol,myo_Inositol,trans_4_Hydroxyproline
20,HF1304,,0.06,1.196,3.932,0.148,8.79,,3.209,,0.532,0.196,4.228,0.064,,,,1.389,0.345,0.65,8.659,1.443,0.695,0.215,0.097,,,1.499,3.373,2.911,,,0.104,,0.311,0.333,,0.709,0.259,0.101,0.684,0.43,0.198,4.114,0.376,,0.456,0.972,0.873,3.946,0.543,0.164,1.028,,0.059,0.709,0.036,2.117,0.642,10.533,0.562
21,HF1307,,0.041,0.712,1.039,0.823,1.389,0.075,0.729,7.049,0.123,0.132,3.841,0.453,0.113,0.237,,8.83,0.32,0.339,1.333,18.262,0.263,0.266,0.316,,,3.402,7.015,1.202,,,,0.291,0.725,2.003,0.886,0.078,0.429,,0.832,0.624,0.28,1.038,0.046,,0.172,3.834,2.937,0.041,2.468,0.769,2.671,,0.077,0.989,,5.798,0.094,7.436,0.047
22,HF1348,0.32,0.107,0.5,9.157,0.032,10.501,,1.499,0.437,1.78,0.042,3.112,0.16,83.99,0.1,,0.574,0.329,0.758,4.956,45.227,0.32,0.49,0.231,,0.766,5.499,11.509,5.373,1.224,0.15,0.262,,0.899,1.097,0.976,2.611,0.553,0.058,1.34,1.077,0.362,4.348,0.225,,0.228,10.418,1.358,0.423,0.379,0.553,6.443,,2.524,1.794,,3.738,0.073,1.332,0.271
23,HF1349,0.596,0.276,0.429,9.919,0.069,21.816,,2.082,1.51,0.396,0.041,3.139,0.167,92.696,0.124,,1.041,0.607,0.84,8.608,76.638,0.269,0.647,0.231,,1.155,4.704,9.247,10.125,1.088,,0.383,,0.768,1.071,2.02,3.194,0.596,0.069,1.428,0.786,0.44,3.427,0.455,,0.365,15.185,0.999,0.593,0.301,0.582,6.76,,1.555,1.376,0.025,6.484,0.162,1.404,0.283
24,HF1351,0.022,0.091,0.481,1.604,0.5,0.938,0.05,0.476,5.98,0.098,0.102,4.244,0.285,0.833,0.151,,5.275,0.169,0.304,0.464,10.187,0.151,0.291,0.287,,,2.879,4.415,0.959,,,,0.152,0.358,1.445,0.608,0.121,0.458,,0.859,0.372,0.366,1.392,0.04,,0.13,2.543,2.083,0.041,1.986,0.509,1.294,,0.095,0.77,,4.298,0.085,6.629,0.035
25,HF1352,,0.023,0.405,0.991,0.452,0.855,0.05,0.391,4.64,0.059,0.099,5.082,0.158,0.151,0.098,,4.827,0.102,0.149,0.193,11.508,0.155,0.191,0.176,,,2.397,3.504,0.312,,,,0.112,0.344,0.856,0.254,0.091,0.272,,0.632,0.369,0.208,0.906,0.017,,0.114,1.708,1.31,0.021,2.17,0.689,1.154,,0.055,0.747,,1.716,0.057,2.354,0.015
26,HF1354,0.152,0.16,0.494,13.743,0.066,8.236,0.101,3.705,0.34,0.839,0.051,3.09,0.093,34.929,0.068,,0.679,0.27,0.398,3.693,28.0,0.367,0.387,0.125,,0.627,9.811,17.107,3.942,0.405,0.313,0.041,,1.499,0.499,0.894,1.996,0.295,0.119,0.728,1.632,0.238,4.899,0.296,,0.149,9.713,1.692,0.351,0.239,0.812,5.822,0.05,1.114,3.0,0.011,2.235,0.168,0.874,0.146
27,HF1357,,0.021,0.475,1.038,0.324,0.617,0.031,0.485,3.43,0.161,0.106,4.846,0.18,0.29,0.098,,2.863,0.165,0.177,0.181,7.456,0.191,0.167,0.163,,,1.946,3.341,0.324,,,,0.074,0.366,0.984,0.229,0.091,0.253,,0.691,0.379,0.204,1.641,0.067,,0.093,1.948,1.458,0.025,1.932,0.675,0.695,,0.047,0.6,,1.723,0.053,1.863,0.022
28,HF2025,0.097,0.066,0.835,7.919,0.015,0.191,,1.838,,3.356,0.034,1.527,0.06,29.933,0.036,,0.305,0.144,0.304,3.16,13.999,0.698,0.362,0.089,,0.14,4.843,10.043,0.239,0.521,0.348,0.039,,1.81,0.603,1.0,1.258,0.187,0.163,0.627,1.752,0.173,3.499,0.95,,0.046,8.825,3.052,0.317,1.617,0.84,3.874,0.378,1.388,1.68,1.035,1.291,,0.576,0.057
29,HF2044,0.051,0.393,2.183,19.688,0.062,9.108,,5.226,0.453,13.265,0.154,2.163,0.068,13.562,0.039,,2.112,0.705,1.298,10.265,49.31,1.628,1.101,0.133,,0.322,9.333,18.916,2.482,0.289,1.562,0.975,,3.247,0.65,3.332,3.76,0.245,0.645,0.759,3.299,0.236,7.58,1.556,,0.159,20.917,5.763,0.669,0.205,1.881,10.745,0.207,2.539,3.18,1.761,3.395,0.051,4.138,0.256
30,HF2082,0.082,0.077,1.23,10.038,0.029,0.495,0.292,4.579,0.068,3.728,0.104,1.777,0.112,18.665,0.082,,0.537,0.201,0.396,2.582,11.16,1.05,0.493,0.085,,0.101,5.61,12.343,0.527,0.339,0.524,0.139,,2.095,1.314,1.134,1.801,0.15,0.302,0.872,2.117,0.137,3.99,0.763,,0.053,9.138,3.397,0.265,1.508,0.982,4.843,0.241,0.887,1.917,1.018,3.301,0.021,1.689,0.08
31,HF2101,0.03,0.115,1.48,15.802,0.018,0.889,0.094,7.679,,0.491,0.095,1.88,0.06,10.852,0.036,,0.457,0.188,0.368,2.142,16.753,1.336,0.499,0.08,,0.126,9.346,18.678,0.231,0.416,2.495,0.134,,3.982,0.82,1.011,1.558,0.16,0.652,0.797,3.632,0.131,6.543,1.993,,0.045,11.138,5.245,0.313,0.549,1.264,6.139,0.041,1.401,3.363,1.754,1.416,0.018,1.241,0.068
32,HF2120,0.094,0.206,1.156,14.629,,6.887,,1.144,,0.397,0.084,1.695,0.062,9.644,0.047,,1.535,0.228,0.621,9.985,42.305,0.881,0.303,0.138,,0.19,2.174,4.06,3.194,0.192,0.568,0.202,,1.038,0.873,0.991,3.448,0.245,0.154,0.827,0.806,0.186,5.011,1.528,,0.117,15.128,1.501,1.013,0.229,0.641,2.581,0.037,3.077,0.915,1.813,3.722,0.073,0.549,0.413
33,HF2405,,0.022,0.876,1.087,0.298,1.09,,2.147,3.176,0.966,0.261,5.577,0.071,0.157,0.034,,1.291,0.064,0.149,0.239,5.51,0.348,0.528,0.087,,,3.195,4.186,0.23,,,,,0.418,0.394,,0.187,0.175,0.034,0.521,0.5,0.172,16.954,0.316,,0.112,0.396,0.642,0.034,0.773,1.418,0.189,,0.037,0.968,0.006,0.991,0.083,0.165,0.036
34,HF2424,0.122,0.641,1.667,24.419,,7.479,,2.443,0.522,0.351,0.108,1.478,0.089,14.554,0.059,,2.378,0.41,0.71,6.098,58.684,1.283,0.742,0.213,,0.21,8.237,15.089,6.708,0.426,1.136,0.3,,2.54,1.488,2.348,4.267,0.321,0.294,1.008,2.358,0.226,7.626,2.322,,0.14,23.935,4.17,0.662,0.344,1.485,8.81,0.034,2.75,2.877,1.962,8.086,0.073,3.597,0.272
35,HF2462,0.201,0.853,1.702,23.15,,21.147,,5.151,,0.764,0.14,2.174,0.104,17.295,0.091,,3.801,0.648,0.858,20.043,99.024,1.225,0.536,0.244,,0.481,7.701,13.772,6.153,0.365,1.123,0.507,,2.737,1.237,2.326,6.044,0.415,0.339,1.007,1.959,0.291,5.798,1.571,,0.282,26.754,4.263,1.102,0.52,1.461,7.751,0.061,6.801,2.349,1.189,5.5,0.13,2.037,0.495
36,HF2506,0.075,0.045,0.81,15.415,,0.58,0.137,2.702,0.125,0.688,0.041,1.899,0.073,35.335,0.069,,0.604,0.178,0.23,3.371,22.571,0.742,0.462,0.097,,0.155,9.214,17.116,0.33,0.564,1.478,0.023,,3.641,0.625,1.161,1.305,0.19,0.399,0.654,3.132,0.156,4.604,1.169,,0.055,8.774,4.302,0.657,1.259,1.407,5.405,0.266,2.151,2.861,0.916,1.143,0.015,0.776,0.048
37,HF2525,0.055,0.111,1.822,20.007,0.025,2.453,0.203,5.859,0.143,0.428,0.034,1.05,0.042,9.602,0.022,,0.809,0.442,0.506,9.93,15.68,1.946,0.641,0.076,,0.192,10.612,17.329,0.716,0.126,2.282,0.196,,3.703,0.329,3.158,2.009,0.122,0.709,0.556,3.317,0.111,9.854,0.994,,0.06,12.88,4.167,1.234,0.115,1.609,6.174,0.02,1.533,3.461,0.838,1.245,0.032,0.957,0.144
38,HF2563,0.106,0.306,1.566,18.962,,5.947,0.142,2.108,0.384,3.597,0.045,1.452,0.047,19.226,0.049,,1.289,0.333,0.616,9.85,34.368,1.471,0.392,0.11,,0.21,5.081,9.382,4.505,0.356,0.695,0.244,,1.832,0.589,2.395,2.802,0.185,0.254,0.769,1.562,0.159,4.997,0.989,,0.102,16.88,2.678,0.841,0.217,1.107,4.24,0.055,2.442,1.706,1.278,3.777,0.042,0.826,0.22
39,HF2582,0.031,0.118,0.834,13.179,,3.061,0.045,2.203,0.164,0.158,0.035,1.612,0.048,6.659,0.039,,0.768,0.169,0.966,2.604,26.544,0.742,0.308,0.092,,0.107,4.758,8.208,1.427,0.159,0.48,0.457,,1.414,0.478,1.005,1.984,0.176,0.223,0.642,1.204,0.153,4.399,0.385,,0.065,13.416,2.077,1.226,0.134,0.748,3.012,0.013,1.736,1.518,0.2,1.608,0.033,1.01,0.198
40,HF2601,0.022,0.183,1.064,10.589,0.132,2.05,0.159,4.014,0.626,0.484,0.149,2.343,0.365,22.494,0.255,,1.479,0.309,0.984,7.575,32.67,0.923,0.642,0.271,,0.177,6.243,12.657,2.04,1.705,0.795,0.359,,2.838,3.67,2.266,1.709,0.279,0.3,1.364,2.073,0.197,5.778,1.443,,0.101,13.365,3.844,4.464,1.568,1.468,4.845,0.028,1.998,2.301,1.3,6.845,0.04,0.869,0.078
41,HF2620,0.023,0.123,0.584,25.222,,2.406,0.125,3.054,,5.278,0.03,1.471,0.043,13.202,0.038,,0.845,0.165,0.757,2.862,34.483,0.524,0.212,0.093,,0.21,14.07,19.443,2.211,0.158,0.953,0.21,,2.5,0.65,0.881,1.306,0.17,0.35,0.653,3.372,0.152,3.151,0.29,,0.048,10.831,1.753,2.917,0.136,0.697,7.622,0.07,0.301,5.421,0.038,1.889,0.027,0.495,0.074
42,HF2753,0.037,0.988,1.282,22.845,0.026,6.598,0.374,7.928,0.276,0.221,0.032,1.88,0.073,9.995,0.044,,1.261,0.34,0.496,3.919,32.938,1.26,0.594,0.132,,0.12,17.871,24.929,2.226,0.198,2.224,0.227,,3.612,0.525,1.253,1.836,0.209,0.236,0.667,3.701,0.164,10.561,0.299,,0.088,13.849,5.152,0.54,0.809,2.58,9.609,0.023,1.544,4.9,0.108,2.125,0.051,1.132,0.211
43,HF2772,0.043,0.092,0.983,16.571,0.024,4.562,0.121,4.68,0.444,0.084,0.04,1.934,0.051,7.257,0.034,,0.592,0.094,0.472,2.045,23.174,0.956,0.339,0.103,,0.111,10.128,15.495,2.842,0.264,1.018,0.146,,2.493,0.402,0.44,2.052,0.178,0.221,0.631,2.222,0.162,6.832,0.289,,0.081,11.648,2.636,0.519,0.155,1.234,4.495,0.008,1.971,2.808,0.118,2.361,0.033,0.38,0.167
44,HF2791,,0.012,1.012,1.207,0.142,0.477,0.167,2.301,2.198,0.044,0.134,4.861,0.095,0.199,0.043,,0.674,0.043,0.134,0.182,2.991,0.495,0.762,0.104,,,4.574,6.578,0.157,,,,,0.726,0.42,0.022,0.179,0.151,0.072,0.471,0.981,0.148,18.78,0.402,,0.068,0.227,0.448,0.034,1.111,1.729,0.423,,0.028,1.344,0.003,0.856,0.041,0.172,0.025
45,HF2810,,0.024,1.32,3.481,0.224,0.762,0.19,2.705,3.568,0.062,0.095,5.06,0.059,0.076,0.039,0.264,0.949,7.418,0.159,8.31,3.959,0.996,0.585,0.076,,,2.338,3.45,0.08,,0.161,0.011,,0.458,0.305,2.157,0.389,0.167,0.136,0.501,0.431,0.143,22.001,1.716,,0.095,1.44,0.234,1.532,,4.675,0.089,,0.039,0.927,0.01,0.404,0.188,0.116,0.051
46,HF2829,0.02,0.294,1.44,18.268,1.549,7.307,0.207,7.699,0.428,0.115,0.068,2.414,0.068,2.371,0.043,,1.796,0.145,0.606,4.796,45.675,1.319,0.492,0.118,,0.152,11.062,18.851,3.586,0.172,1.585,0.089,,3.381,0.528,0.745,2.651,0.22,0.623,0.739,2.738,0.187,5.741,0.27,,0.111,15.161,3.421,0.422,0.238,1.359,6.527,,3.246,3.033,0.207,2.481,0.047,0.8,0.19
47,HF2848,,0.039,1.175,5.09,0.17,0.648,0.456,3.777,2.823,0.095,0.123,6.222,0.123,0.076,0.072,,0.919,0.068,0.209,0.414,2.191,0.64,0.93,0.107,,,9.54,16.838,0.378,,0.38,0.009,,1.754,0.622,0.02,0.373,0.211,0.308,0.605,2.009,0.176,18.534,2.52,,0.065,0.964,0.587,0.049,0.972,2.438,0.53,,0.045,2.771,0.005,1.77,0.064,0.624,0.051
48,HF2981,0.041,0.637,2.239,29.054,,5.503,0.395,10.967,0.516,0.1,0.061,1.626,0.075,8.501,0.048,,3.264,0.217,0.72,2.985,34.183,2.054,0.912,0.127,,0.223,17.28,25.749,3.048,0.301,2.357,0.192,,3.85,0.591,0.944,3.37,0.223,0.564,0.783,3.641,0.206,12.359,0.616,,0.115,18.795,1.386,2.26,0.227,2.853,11.076,,2.499,5.183,0.407,2.55,0.11,1.562,0.385
49,HF3000,0.017,0.103,1.361,10.775,0.116,0.191,1.383,3.837,0.086,3.984,0.136,1.344,0.076,19.351,0.056,0.306,0.904,0.109,0.216,2.115,15.996,0.889,0.777,0.059,,0.067,12.358,20.008,0.172,0.277,0.689,0.011,,2.935,0.72,1.3,0.834,0.107,0.138,0.651,3.276,0.131,7.09,0.385,,0.056,3.236,3.496,0.545,0.667,1.736,3.419,0.207,0.773,3.692,0.196,1.574,0.021,0.705,0.078
50,HF3019,0.016,0.235,0.865,18.43,0.036,10.473,0.472,4.213,0.582,1.049,0.024,2.718,0.062,15.572,0.038,,0.601,0.712,0.35,13.899,47.751,0.758,0.514,0.135,,0.214,15.823,24.573,3.524,0.197,1.35,0.062,,3.377,0.445,2.005,1.136,0.217,0.286,0.681,3.547,0.177,7.805,0.283,,0.084,9.784,5.252,1.142,0.148,2.004,10.056,0.042,1.708,4.24,0.038,2.338,0.092,2.445,0.118
51,HF3057,,0.085,2.406,6.38,0.069,0.1,1.283,11.699,,7.792,0.172,1.962,0.079,0.251,0.054,0.066,0.209,0.352,0.252,3.359,7.058,2.15,0.798,0.079,,0.067,12.189,15.328,0.537,0.009,0.737,0.028,,3.103,0.778,0.578,0.536,0.127,0.384,0.583,3.095,0.141,5.014,0.196,,0.037,2.686,2.932,0.247,0.195,0.875,2.191,0.166,0.066,5.216,0.064,1.982,0.027,0.139,0.121
